key,type,id,value
source,regular,539188790,IBGE
source,regular,539188792,IBGE
source,regular,539188796,IBGE
source,regular,539188798,IBGE
source,regular,539188805,IBGE
source,regular,539188807,IBGE
source,regular,539188811,IBGE
source,regular,539188813,IBGE
source,regular,539188815,IBGE
source,regular,539188817,IBGE
source,regular,539189050,IBGE
source,regular,539189052,IBGE
source,regular,539189058,IBGE
source,regular,539189060,IBGE
source,regular,539189064,IBGE
source,regular,539189066,IBGE
source,regular,539189068,IBGE
source,regular,539189070,IBGE
source,regular,539189073,IBGE
source,regular,539189075,IBGE
source,regular,539189077,IBGE
source,regular,539189079,IBGE
source,regular,539189081,IBGE
source,regular,539189087,IBGE
source,regular,539189174,IBGE
source,regular,539189175,IBGE
source,regular,539189176,IBGE
source,regular,539189178,IBGE
source,regular,539189179,IBGE
source,regular,539189198,IBGE
source,regular,539189199,IBGE
source,regular,539189200,IBGE
source,regular,539189201,IBGE
source,regular,539189202,IBGE
source,regular,539189203,IBGE
source,regular,539189204,IBGE
source,regular,539189205,IBGE
source,regular,539189206,IBGE
source,regular,539189207,IBGE
source,regular,539189208,IBGE
source,regular,539189217,IBGE
source,regular,539189218,IBGE
source,regular,539189219,IBGE
source,regular,539189220,IBGE
source,regular,539189222,IBGE
source,regular,539189223,IBGE
source,regular,539189224,IBGE
source,regular,539189225,IBGE
source,regular,539189226,IBGE
source,regular,539189235,IBGE
source,regular,539189236,IBGE
source,regular,539189237,IBGE
source,regular,539189255,IBGE
source,regular,539189256,IBGE
source,regular,539189257,IBGE
source,regular,539189258,IBGE
source,regular,539189259,IBGE
source,regular,539189260,IBGE
source,regular,539189261,IBGE
source,regular,539189269,IBGE
source,regular,539189270,IBGE
source,regular,539189271,IBGE
source,regular,539189272,IBGE
source,regular,539189273,IBGE
source,regular,539189274,IBGE
source,regular,539189275,IBGE
source,regular,539189276,IBGE
source,regular,539189277,IBGE
source,regular,539189278,IBGE
source,regular,539189279,IBGE
source,regular,539189280,IBGE
source,regular,539189281,IBGE
source,regular,539189282,IBGE
source,regular,539189283,IBGE
source,regular,539189393,IBGE
source,regular,539189394,IBGE
source,regular,539189396,IBGE
source,regular,539189397,IBGE
source,regular,539189419,IBGE
source,regular,539189670,IBGE
source,regular,539189671,IBGE
source,regular,539189672,IBGE
source,regular,539189673,IBGE
source,regular,539189674,IBGE
source,regular,539189675,IBGE
source,regular,539189676,IBGE
source,regular,539189677,IBGE
source,regular,539189678,IBGE
source,regular,539189679,IBGE
source,regular,539189680,IBGE
source,regular,539189681,IBGE
source,regular,539189684,IBGE
source,regular,539189689,IBGE
source,regular,539189690,IBGE
source,regular,539189700,IBGE
source,regular,539189701,IBGE
source,regular,539189702,IBGE
source,regular,539189703,IBGE
source,regular,539189704,IBGE
source,regular,539189705,IBGE
source,regular,539189706,IBGE
source,regular,539189707,IBGE
source,regular,539189708,IBGE
source,regular,539189709,IBGE
source,regular,539189710,IBGE
source,regular,539189711,IBGE
source,regular,539189712,IBGE
source,regular,539189713,IBGE
source,regular,539189714,IBGE
source,regular,539189715,IBGE
source,regular,539189716,IBGE
source,regular,539189717,IBGE
source,regular,539189718,IBGE
source,regular,539189719,IBGE
source,regular,539189720,IBGE
source,regular,539189722,IBGE
source,regular,539189723,IBGE
source,regular,539189724,IBGE
source,regular,539189725,IBGE
source,regular,539189726,IBGE
source,regular,539189729,IBGE
source,regular,539189730,IBGE
source,regular,539189731,IBGE
source,regular,539189732,IBGE
source,regular,539189733,IBGE
source,regular,539189734,IBGE
source,regular,539189735,IBGE
source,regular,539189736,IBGE
source,regular,539189737,IBGE
source,regular,539189738,IBGE
source,regular,539189739,IBGE
source,regular,539189740,IBGE
source,regular,539189741,IBGE
source,regular,539189742,IBGE
source,regular,539189743,IBGE
source,regular,539189744,IBGE
source,regular,539189747,IBGE
source,regular,539189749,IBGE
source,regular,539189752,IBGE
source,regular,539189753,IBGE
source,regular,539189754,IBGE
source,regular,539189755,IBGE
source,regular,539189756,IBGE
source,regular,539189757,IBGE
source,regular,539189758,IBGE
source,regular,539189769,IBGE
source,regular,539189775,IBGE
source,regular,539189776,IBGE
source,regular,539189777,IBGE
source,regular,539189778,IBGE
source,regular,539189779,IBGE
source,regular,539189780,IBGE
source,regular,539189781,IBGE
source,regular,539189782,IBGE
source,regular,539189783,IBGE
source,regular,539189810,IBGE
source,regular,539189812,IBGE
source,regular,539189814,IBGE
source,regular,539189815,IBGE
source,regular,539189816,IBGE
source,regular,539189817,IBGE
source,regular,539189818,IBGE
source,regular,539189819,IBGE
source,regular,539189820,IBGE
